excerpt,published_date,refresh_existing,scraped_at,tags,title,topics,url
The deal positions the merged company to benefit from an expected offshore drilling upcycle.,2026-02-09,0,2026-02-09 21:57:30.070926+00:00,"acquisitions and divestitures,jackups,offshore,Transocean,Valaris",Transocean To Buy Valaris in $5.8B All-Stock Deal,"Asset/portfolio management,Business/economics,Drilling",https://jpt.spe.org/transocean-to-buy-valaris-in-5-8b-all-stock-deal
The awards build on Tenaris’ role in earlier phases of the ultradeepwater Black Sea project.,2026-02-09,0,2026-02-09 21:57:29.997666+00:00,"deepwater,Turkey,TPAO,Tenaris,Black Sea",TPAO Awards Contracts to Tenaris for Sakarya Gas Project,"Offshore/subsea systems,Pipelines/flowlines/risers",https://jpt.spe.org/tpao-awards-contracts-to-tenaris-for-sakarya-gas-project
"Suspended by force majeure since the spring of 2021, work on the Mozambique LNG project has restarted with over 4,000 workers now engaged onshore and offshore to meet a 2029 deadline for first LNG.",2026-02-09,0,2026-02-09 21:57:29.608521+00:00,"LNG,TotalEnergies,Mozambique,Africa","TotalEnergies CEO, Mozambique President Confirm Mozambique LNG Restart","LNG,Business/economics,Field/project development",https://jpt.spe.org/totalenergies-ceo-mozambique-president-confirm-mozambique-lng-restart
An earlier deal to double Israel’s gas exports to Egypt led to approval of Leviathan’s Phase 1B expansion by guaranteeing long-term cash flow to finance the project.,2026-02-07,0,2026-02-09 21:57:29.105124+00:00,"Chevron,NewMed Energy,Eastern Mediterranean,Israel,Egypt,Leviathan,gas transmission","Chevron, NewMed, Ratio Declare FID on Leviathan Phase Expansion","Field/project development,Offshore/subsea systems,Production,Drilling",https://jpt.spe.org/chevron-newmed-ratio-declare-fid-on-leviathan-phase-expansion
